0,1,2,3,4,5,6,7,8,9
알파갤러리,26,214,99,2,349,864,194,196,207
하이브랜드 프리미엄 아울렛,0,38,194,196,207,106,430,80,484
암사종합시장,563,90,503,199,766,172,185,174,176
동대문 헌책방 거리,599,971,182,44,613,932,869,558,509
송은 아트스페이스,200,172,185,197,766,1109,174,958,977
뉴뉴 악세사리,128,342,594,141,596,140,49,167,582
갤러리 더 스페이스,865,462,986,571,121,876,554,176,479
학아재미술관,571,958,593,514,583,479,554,176,977
시공간,1066,588,167,455,607,582,861,997,528
아트선재센터,161,332,298,255,283,289,288,92,82
풍월당,878,987,831,800,514,479,453,583,593
디자이너 클럽,547,107,38,45,101,44,140,35,5
서울 밤도깨비 야시장 - 여의도,747,821,765,6,135,871,939,457,144
갤러리 사비나,161,348,227,149,718,304,288,255,289
명동밀리오레,119,70,594,796,596,141,342,115,1082
Kukje Gallery,362,800,200,453,176,583,593,514,479
일요 필리핀 시장,388,843,544,29,942,845,415,656,747
갤러리 아라리오 서울,378,300,292,324,131,799,303,315,372
Kp 갤러리,1124,994,751,554,593,977,453,479,958
Yoon Gallery,178,170,169,813,168,324,171,303,300
젠틀몬스터 패러럴,349,830,183,1123,210,973,55,187,44
종로신진시장,126,871,943,975,643,457,747,421,46
문정동 로데오거리,624,643,212,437,155,747,764,765,7
마천시장,202,163,113,604,305,172,193,185,766
지엔퍼퓸,933,366,1067,857,152,546,870,1111,1081
아트뮤제,305,178,133,137,813,882,170,168,169
콜핑 - 서울남대문점,548,558,969,99,214,49,397,9,93
회현 중고 LP 상가,594,596,183,607,588,582,573,562,528
엔터식스 - 파크에비뉴 한양대점,747,996,1116,155,126,821,1,427,136
댄 - 이태원,1053,796,1054,1063,760,1057,591,567,714
청담삼익시장,1116,871,172,185,108,71,764,765,747
이도,609,184,424,881,611,974,968,145,491
교복몰 - 사당점,575,506,1038,458,1000,692,874,327,851
교복몰 - 홍대점,147,1107,551,759,988,1061,833,1048,566
동명사,5,57,99,69,158,65,59,547,117
Gallery Now,347,335,327,379,263,319,236,282,340
피부를 사랑하는 사람들,378,372,373,374,375,376,377,379,370
스트레치 엔젤스 가로수길 플래그쉽 스토어,405,444,469,111,79,860,452,752,997
종이나무 갤러리,152,1067,934,492,614,997,791,1106,455
니희,147,1107,551,759,988,1061,833,1048,566
장지방,578,89,972,565,486,213,196,194,493
미플 2001아울렛불광점,457,747,53,624,683,212,41,136,1116
예화랑,378,372,373,374,375,376,377,379,370
비트 플렉스,503,563,732,155,190,28,41,90,116
구로시장,558,193,509,163,839,493,148,181,440
동대문지하쇼핑센터,604,202,719,753,163,902,830,551,1107
스타한복,1058,826,601,584,603,471,87,400,580
갤러리위,348,127,123,289,288,255,92,227,251
폼폼페이퍼,378,372,373,374,375,376,377,379,370
소공지하도상가,202,604,116,137,1123,210,183,830,158
JN 쇼핑몰,597,784,199,90,707,142,563,958,977
뚝섬 아름다운 나눔장터,71,24,871,46,5,62,1079,274,144
고요서사,378,372,373,374,375,376,377,379,370
킴스부띠끄,579,951,562,528,167,573,607,582,1066
Trunk Gallery,178,170,169,813,168,324,171,303,300
Moin Gallery,178,170,169,813,168,324,171,303,300
