id,place,tag_list,count,avg_score,first_tag,second_tag,third_tag,fourth_tag,fifth_tag
46,에이랜드,"['비싸다', '구매', '싸다, 저렴하다', '쇼핑', '친구', '휴식', '체험']",12,4.5,비싸다,구매,"싸다, 저렴하다",쇼핑,쇼핑
47,가락시장,"['시장', '싸다, 저렴하다', '먹다', '음식, 식사', '구매', '가격', '관광지']",31,3.967741935,시장,"싸다, 저렴하다",먹다,"음식, 식사","음식, 식사"
48,양재동 화훼공판장,"['시장', '싸다, 저렴하다', '구매', '가격', '먹다', '돈', '여유']",21,4.428571429,시장,"싸다, 저렴하다",구매,가격,가격
49,롯데 면세점 본점,"['쇼핑', '비싸다', '가격', '싸다, 저렴하다', '구매', '관광지', '상품']",78,3.41025641,쇼핑,비싸다,가격,"싸다, 저렴하다","싸다, 저렴하다"
50,동화 면세점,"['쇼핑', '비싸다', '구매', '가격', '싸다, 저렴하다', '상품', '관광지']",28,3.75,쇼핑,비싸다,구매,가격,가격
51,마리오 아울렛,"['쇼핑', '비싸다', '싸다, 저렴하다', '가격', '음식, 식사', '구매', '상품']",35,3.7714285710000004,쇼핑,비싸다,"싸다, 저렴하다",가격,가격
52,갤러리아 백화점 본점,"['쇼핑', '음식, 식사', '비싸다', '싸다, 저렴하다', '먹다', '호텔', '상품']",18,4.222222222,쇼핑,"음식, 식사",비싸다,"싸다, 저렴하다","싸다, 저렴하다"
53,창신동 문구 완구 거리,"['아이', '싸다, 저렴하다', '가격', '시장', '상품', '구매', '산책']",12,4.0,아이,"싸다, 저렴하다",가격,시장,시장
54,킴즈 클럽,"['쇼핑', '음식, 식사', '상품', '가격', '호텔', '싸다, 저렴하다', '시장']",12,4.25,쇼핑,"음식, 식사",상품,가격,가격
55,생활창작가게 KEY,"['재미', '상품', '전시관', '친구', '구매', '가격', '휴식']",12,4.916666667,재미,상품,전시관,친구,친구
56,아크앤북 - 시청점,"['음식, 식사', '쇼핑', '상품', '휴식', '문화']",7,4.285714286,"음식, 식사",쇼핑,상품,휴식,휴식
57,남평화 상가,"['시장', '싸다, 저렴하다', '가격', '쇼핑', '먹다']",3,3.333333333,시장,"싸다, 저렴하다",가격,쇼핑,쇼핑
58,명동지하상가,"['쇼핑', '상품', '시장', '구매', '싸다, 저렴하다', '음식, 식사', '관광지']",27,3.5555555560000003,쇼핑,상품,시장,구매,구매
59,고관한복촬영소 명동점,"['가격', '재미', '가족', '아이', '쇼핑', '친구', '궁전']",17,4.117647058999999,가격,재미,가족,아이,아이
60,방산 종합시장,"['시장', '쇼핑', '구매', '싸다, 저렴하다', '요리', '음식, 식사', '먹다']",18,4.055555556,시장,쇼핑,구매,"싸다, 저렴하다","싸다, 저렴하다"
61,헬로키티아일랜드 in N서울타워,"['아이', '박물관', '전시관', '상품', '싸다, 저렴하다', '전망대', '구매']",16,3.8125,아이,박물관,전시관,상품,상품
62,롯데 피트인,"['쇼핑', '음식, 식사', '비싸다', '가격', '돈', '먹다', '구매']",18,3.611111111,쇼핑,"음식, 식사",비싸다,가격,가격
63,회현 지하 상가,"['쇼핑', '시장', '싸다, 저렴하다', '음식, 식사', '상품', '가격', '구매']",28,3.428571429,쇼핑,시장,"싸다, 저렴하다","음식, 식사","음식, 식사"
64,에덴악세사리,"['구매', '예술', '가격', '공예', '박물관', '재미', '비싸다']",7,5.0,구매,예술,가격,공예,공예
65,KT&G 상상마당,"['전시관', '영화', '쇼핑', '구매', '아이', '재미', '공연']",8,3.75,전시관,영화,쇼핑,구매,구매
66,동묘벼룩시장,"['상품', '시장', '재미', '싸다, 저렴하다', '친구', '쇼핑', '돈']",17,3.764705882,상품,시장,재미,"싸다, 저렴하다","싸다, 저렴하다"
67,에이피엠 플레이스,"['쇼핑', '돈', '가격', '구매', '공원', '상품', '호텔']",4,4.75,쇼핑,돈,가격,구매,구매
68,가든파이브,"['쇼핑', '영화', '음식, 식사', '먹다', '비싸다', '재미', '가족']",26,3.730769231,쇼핑,영화,"음식, 식사",먹다,먹다
69,Savile Row: Custom Tailor,"['구매', '공예', '가격']",7,5.0,구매,공예,가격,Nan,Nan
70,낙원 악기 상가,"['구매', '싸다, 저렴하다', '시장', '가격', '재미', '쇼핑', '상품']",17,4.058823529,구매,"싸다, 저렴하다",시장,가격,가격
71,동대문 문구거리,"['싸다, 저렴하다', '아이', '쇼핑', '가격', '구매', '가족', '재미']",6,3.5,"싸다, 저렴하다",아이,쇼핑,가격,가격
72,동대문종합시장,"['쇼핑', '시장', '음식, 식사', '싸다, 저렴하다', '구매', '재미', '상품']",5,4.4,쇼핑,시장,"음식, 식사","싸다, 저렴하다","싸다, 저렴하다"
73,서울풍물시장,"['시장', '상품', '음식, 식사', '쇼핑', '싸다, 저렴하다', '가격', '재미']",26,3.5,시장,상품,"음식, 식사",쇼핑,쇼핑
74,10 꼬르소 꼬모,"['음식, 식사', '비싸다', '싸다, 저렴하다', '가격', '쇼핑', '아이', '휴식']",7,4.0,"음식, 식사",비싸다,"싸다, 저렴하다",가격,가격
75,그랜드 마트,"['쇼핑', '싸다, 저렴하다', '비싸다', '음식, 식사', '구매', '호텔', '가격']",13,3.538461538,쇼핑,"싸다, 저렴하다",비싸다,"음식, 식사","음식, 식사"
76,서울파이낸스센터,"['음식, 식사', '활동', '싸다, 저렴하다', '가격', '호텔', '쇼핑', '궁전']",9,4.222222222,"음식, 식사",활동,"싸다, 저렴하다",가격,가격
77,강변 테크노 마트,"['쇼핑', '영화', '음식, 식사', '시장', '엔터테인먼트', '공원', '구매']",22,3.272727273,쇼핑,영화,"음식, 식사",시장,시장
78,세운 전자상가,"['쇼핑', '시장', '음식, 식사', '구매', '역사', '박물관', '나들이']",5,4.6,쇼핑,시장,"음식, 식사",구매,구매
79,안녕인사동,"['전시관', '음식, 식사', '쇼핑']",2,5.0,전시관,"음식, 식사",쇼핑,Nan,Nan
80,링고라벨,"['가격', '재미', '친구', '구매']",3,5.0,가격,재미,친구,구매,구매
81,종로 귀금속 거리,"['싸다, 저렴하다', '가격', '구매', '커플', '돈', '쇼핑', '비싸다']",9,4.1111111110000005,"싸다, 저렴하다",가격,구매,커플,커플
82,굿모닝시티,"['쇼핑', '싸다, 저렴하다', '공원', '문화', '가격', '역사', '친구']",16,3.375,쇼핑,"싸다, 저렴하다",공원,문화,문화
83,인사동 마루,"['쇼핑', '음식, 식사', '재미', '미술', '예술', '전시관', '미술관']",3,4.333333333,쇼핑,"음식, 식사",재미,미술,미술
84,현대시티아울렛 - 동대문점,"['쇼핑', '음식, 식사', '가격', '먹다', '여유', '관광지', '아이']",6,4.0,쇼핑,"음식, 식사",가격,먹다,먹다
85,천호동 로데오거리,"['먹다', '음식, 식사', '친구', '게임', '관광지', '아이']",3,5.0,먹다,"음식, 식사",친구,게임,게임
86,영등포중앙시장,"['시장', '음식, 식사', '먹다', '쇼핑', '싸다, 저렴하다', '역사', '관광지']",9,3.4444444439999997,시장,"음식, 식사",먹다,쇼핑,쇼핑
88,카카오프렌즈 스토어 - 롯데 영플라자 명동점,"['상품', '쇼핑', '친구', '아이', '전시관', '싸다, 저렴하다', '비싸다']",4,4.0,상품,쇼핑,친구,아이,아이
89,갤러리 현대,"['미술', '박물관', '미술관', '전시관', '가족', '궁전', '나들이']",6,4.833333333,미술,박물관,미술관,전시관,전시관
90,라인프렌즈 - 이대점,"['구매', '친구', '관광지']",2,3.5,구매,친구,관광지,Nan,Nan
91,Eunnamu,"['싸다, 저렴하다', '비싸다', '가격']",3,5.0,"싸다, 저렴하다",비싸다,가격,Nan,Nan
92,명가,"['쇼핑', '음식, 식사', '먹다']",1,4.0,쇼핑,"음식, 식사",먹다,Nan,Nan
93,퀸마마마켓,[],1,5.0,Nan,Nan,Nan,Nan,Nan
94,인사아트센터,"['미술관', '미술', '예술', '문화', '전시관']",2,4.5,미술관,미술,예술,문화,문화
95,때때롯살롱,"['비싸다', '친구', '구매', '가격', '관광지']",3,5.0,비싸다,친구,구매,가격,가격
96,눈스퀘어,"['비싸다', '쇼핑', '영화']",1,3.0,비싸다,쇼핑,영화,Nan,Nan
97,마포 농수산물 시장,"['시장', '음식, 식사', '경기', '먹다', '구매', '쇼핑', '요리']",4,4.25,시장,"음식, 식사",경기,먹다,먹다
98,페라라 코리아,"['공원', '먹다', '문화', '유적지', '시장', '싸다, 저렴하다', '비싸다']",3,4.0,공원,먹다,문화,유적지,유적지
99,한복 카페,['친구'],1,5.0,친구,Nan,Nan,Nan,Nan
100,서울책보고,"['여유', '문화', '싸다, 저렴하다', '비싸다', '아이', '관광지', '구매']",4,4.25,여유,문화,"싸다, 저렴하다",비싸다,비싸다
101,드림 코스메,"['싸다, 저렴하다', '상품', '구매', '비싸다', '쇼핑', '친구', '호텔']",5,4.0,"싸다, 저렴하다",상품,구매,비싸다,비싸다
102,한국관광명품점,[],4,3.5,Nan,Nan,Nan,Nan,Nan
103,답십리 고미술상가,"['가격', '구매', '친구', '미술', '미술관', '싸다, 저렴하다', '쇼핑']",4,4.75,가격,구매,친구,미술,미술
104,엠플라자,"['관광지', '호텔', '문화', '쇼핑', '가족', '음식, 식사', '예술']",3,3.666666667,관광지,호텔,문화,쇼핑,쇼핑
105,롯데몰 은평점,"['쇼핑', '음식, 식사', '영화', '먹다', '가족', '휴식', '아이']",6,4.0,쇼핑,"음식, 식사",영화,먹다,먹다
107,종로3가 포장마차거리,"['음식, 식사', '가격', '싸다, 저렴하다', '재미', '관광지', '친구', '먹다']",6,3.833333333,"음식, 식사",가격,"싸다, 저렴하다",재미,재미
108,영천시장,"['시장', '음식, 식사', '쇼핑', '공예']",2,4.5,시장,"음식, 식사",쇼핑,공예,공예
109,SM면세점 서울점,"['구매', '쇼핑', '비싸다', '음식, 식사', '가격', '상품', '돈']",3,4.0,구매,쇼핑,비싸다,"음식, 식사","음식, 식사"
110,헬로에이피엠,"['쇼핑', '가격', '싸다, 저렴하다', '상품', '친구', '공원', '비싸다']",8,3.25,쇼핑,가격,"싸다, 저렴하다",상품,상품
111,공덕시장,"['시장', '음식, 식사', '싸다, 저렴하다', '재미', '먹다', '가격', '친구']",7,3.571428571,시장,"음식, 식사","싸다, 저렴하다",재미,재미
112,유니버설아트센터,"['공연', '아이', '공원', '음식, 식사', '돈', '문화', '예술']",4,4.0,공연,아이,공원,"음식, 식사","음식, 식사"
113,Gana Art Gallery,"['예술', '전시관', '여유', '아이', '가족', '휴식', '자연']",3,4.666666667,예술,전시관,여유,아이,아이
114,YATA(You Are Traveling Artists),"['재미', '친구', '게임']",2,5.0,재미,친구,게임,Nan,Nan
115,에스엠 엔터테인먼트 센터,"['엔터테인먼트', '아이', '가족', '음식, 식사', '상품']",3,4.333333333,엔터테인먼트,아이,가족,"음식, 식사","음식, 식사"
117,모래내시장,"['시장', '경기']",1,4.0,시장,경기,Nan,Nan,Nan
119,알파갤러리,"['쇼핑', '예술', '공예', '비싸다', '상품', '구매']",2,5.0,쇼핑,예술,공예,비싸다,비싸다
120,하이브랜드 프리미엄 아울렛,"['쇼핑', '비싸다', '아이', '구매']",5,3.8,쇼핑,비싸다,아이,구매,구매
121,암사종합시장,"['시장', '쇼핑', '음식, 식사']",1,4.0,시장,쇼핑,"음식, 식사",Nan,Nan
122,동대문 헌책방 거리,"['가격', '싸다, 저렴하다', '돈', '쇼핑', '호텔', '산책']",3,3.666666667,가격,"싸다, 저렴하다",돈,쇼핑,쇼핑
123,송은 아트스페이스,"['이벤트', '전시관', '공연', '시장', '음식, 식사', '예술']",2,5.0,이벤트,전시관,공연,시장,시장
124,뉴뉴 악세사리,"['쇼핑', '구매', '가격']",1,5.0,쇼핑,구매,가격,Nan,Nan
125,갤러리 더 스페이스,"['음식, 식사', '친구', '미술', '공원', '가격', '궁전', '미술관']",2,5.0,"음식, 식사",친구,미술,공원,공원
126,학아재미술관,"['궁전', '음식, 식사']",1,5.0,궁전,"음식, 식사",Nan,Nan,Nan
127,시공간,"['재미', '가격']",1,5.0,재미,가격,Nan,Nan,Nan
128,아트선재센터,"['미술', '미술관', '예술', '전시관', '영화']",2,4.5,미술,미술관,예술,전시관,전시관
129,풍월당,"['휴식', '강좌', '음식, 식사', '구매', '가격']",2,5.0,휴식,강좌,"음식, 식사",구매,구매
130,디자이너 클럽,"['싸다, 저렴하다', '쇼핑', '가격', '친구', '상품', '휴식', '구매']",4,3.75,"싸다, 저렴하다",쇼핑,가격,친구,친구
133,서울 밤도깨비 야시장 - 여의도,"['음식, 식사', '시장', '싸다, 저렴하다', '비싸다', '먹다']",2,3.5,"음식, 식사",시장,"싸다, 저렴하다",비싸다,비싸다
134,갤러리 사비나,"['전시관', '미술', '미술관', '시장', '휴식', '궁전']",2,5.0,전시관,미술,미술관,시장,시장
135,명동밀리오레,"['돈', '구매', '가격', '이벤트', '산책', '아이', '쇼핑']",7,3.0,돈,구매,가격,이벤트,이벤트
136,Kukje Gallery,"['예술', '휴식', '음식, 식사', '전시관']",2,5.0,예술,휴식,"음식, 식사",전시관,전시관
137,일요 필리핀 시장,"['음식, 식사', '먹다', '재미', '가격', '가족', '비싸다', '싸다, 저렴하다']",4,4.0,"음식, 식사",먹다,재미,가격,가격
138,갤러리 아라리오 서울,"['박물관', '전시관']",3,4.333333333,박물관,전시관,Nan,Nan,Nan
139,Kp 갤러리,"['음식, 식사', '재미', '전시관', '산책']",1,5.0,"음식, 식사",재미,전시관,산책,산책
140,Yoon Gallery,['전시관'],1,5.0,전시관,Nan,Nan,Nan,Nan
141,젠틀몬스터 패러럴,"['쇼핑', '상품']",2,4.0,쇼핑,상품,Nan,Nan,Nan
142,종로신진시장,"['시장', '싸다, 저렴하다', '음식, 식사', '가격', '비싸다', '먹다', '관광지']",1,4.0,시장,"싸다, 저렴하다","음식, 식사",가격,가격
143,문정동 로데오거리,"['쇼핑', '음식, 식사', '싸다, 저렴하다', '먹다', '비싸다', '가격', '시장']",11,3.272727273,쇼핑,"음식, 식사","싸다, 저렴하다",먹다,먹다
146,마천시장,['시장'],1,5.0,시장,Nan,Nan,Nan,Nan
147,지엔퍼퓸,"['강좌', '활동', '재미', '휴식', '쇼핑']",3,3.333333333,강좌,활동,재미,휴식,휴식
148,아트뮤제,"['전시관', '시장', '구매']",1,5.0,전시관,시장,구매,Nan,Nan
150,콜핑 - 서울남대문점,"['비싸다', '쇼핑', '싸다, 저렴하다', '친구', '구매', '가격']",1,5.0,비싸다,쇼핑,"싸다, 저렴하다",친구,친구
152,회현 중고 LP 상가,"['쇼핑', '돈', '가격']",1,5.0,쇼핑,돈,가격,Nan,Nan
155,엔터식스 - 파크에비뉴 한양대점,"['쇼핑', '먹다', '음식, 식사', '싸다, 저렴하다', '비싸다', '친구']",2,4.0,쇼핑,먹다,"음식, 식사","싸다, 저렴하다","싸다, 저렴하다"
156,댄 - 이태원,"['공원', '구매', '호텔', '산책']",1,5.0,공원,구매,호텔,산책,산책
157,청담삼익시장,"['시장', '음식, 식사', '싸다, 저렴하다']",2,4.0,시장,"음식, 식사","싸다, 저렴하다",Nan,Nan
158,이도,['친구'],1,5.0,친구,Nan,Nan,Nan,Nan
159,교복몰 - 사당점,"['커플', '여유']",1,5.0,커플,여유,Nan,Nan,Nan
160,교복몰 - 홍대점,['관광지'],1,5.0,관광지,Nan,Nan,Nan,Nan
161,동명사,"['돈', '구매', '싸다, 저렴하다', '상품', '시장', '쇼핑', '호텔']",5,4.4,돈,구매,"싸다, 저렴하다",상품,상품
162,Gallery Now,"['전시관', '미술관', '미술', '휴식']",1,5.0,전시관,미술관,미술,휴식,휴식
164,피부를 사랑하는 사람들,[],1,5.0,Nan,Nan,Nan,Nan,Nan
166,스트레치 엔젤스 가로수길 플래그쉽 스토어,"['재미', '친구', '상품']",2,3.5,재미,친구,상품,Nan,Nan
167,종이나무 갤러리,"['강좌', '재미']",2,4.5,강좌,재미,Nan,Nan,Nan
168,니희,['관광지'],1,5.0,관광지,Nan,Nan,Nan,Nan
169,장지방,"['싸다, 저렴하다', '비싸다', '구매']",1,5.0,"싸다, 저렴하다",비싸다,구매,Nan,Nan
170,미플 2001아울렛불광점,"['쇼핑', '음식, 식사', '싸다, 저렴하다', '비싸다', '상품', '가격']",2,4.5,쇼핑,"음식, 식사","싸다, 저렴하다",비싸다,비싸다
171,예화랑,[],1,5.0,Nan,Nan,Nan,Nan,Nan
173,비트 플렉스,"['쇼핑', '음식, 식사', '엔터테인먼트', '비싸다', '상품', '관광지', '영화']",3,3.666666667,쇼핑,"음식, 식사",엔터테인먼트,비싸다,비싸다
174,구로시장,"['시장', '쇼핑', '싸다, 저렴하다', '풍경']",2,4.0,시장,쇼핑,"싸다, 저렴하다",풍경,풍경
175,동대문지하쇼핑센터,"['쇼핑', '시장', '관광지']",4,2.75,쇼핑,시장,관광지,Nan,Nan
176,스타한복,"['가족', '궁전']",1,5.0,가족,궁전,Nan,Nan,Nan
177,갤러리위,"['예술', '미술', '미술관', '시장', '전시관']",1,5.0,예술,미술,미술관,시장,시장
178,폼폼페이퍼,[],1,5.0,Nan,Nan,Nan,Nan,Nan
179,소공지하도상가,"['시장', '쇼핑']",1,3.0,시장,쇼핑,Nan,Nan,Nan
180,JN 쇼핑몰,"['상품', '쇼핑', '먹다', '음식, 식사']",2,4.0,상품,쇼핑,먹다,"음식, 식사","음식, 식사"
181,뚝섬 아름다운 나눔장터,"['시장', '싸다, 저렴하다', '상품', '아이', '음식, 식사', '구매', '재미']",6,3.666666667,시장,"싸다, 저렴하다",상품,아이,아이
182,고요서사,[],1,5.0,Nan,Nan,Nan,Nan,Nan
183,킴스부띠끄,['가격'],1,1.0,가격,Nan,Nan,Nan,Nan
184,Trunk Gallery,['전시관'],1,5.0,전시관,Nan,Nan,Nan,Nan
187,Moin Gallery,['전시관'],1,5.0,전시관,Nan,Nan,Nan,Nan
189,공근혜 갤러리,['전시관'],1,5.0,전시관,Nan,Nan,Nan,Nan
193,Art Center Nabi,"['전시관', '예술']",1,5.0,전시관,예술,Nan,Nan,Nan
194,인현시장,"['시장', '음식, 식사']",1,4.0,시장,"음식, 식사",Nan,Nan,Nan
197,용답 푸르미르 상가시장,"['음식, 식사', '관광지', '쇼핑']",1,4.0,"음식, 식사",관광지,쇼핑,Nan,Nan
200,영동전통시장,"['음식, 식사', '시장']",1,4.0,"음식, 식사",시장,Nan,Nan,Nan
201,조니 워커 하우스,[],1,4.0,Nan,Nan,Nan,Nan,Nan
204,대림중앙시장,"['음식, 식사']",1,4.0,"음식, 식사",Nan,Nan,Nan,Nan
205,후지필름스튜디오,"['쇼핑', '전시관']",1,4.0,쇼핑,전시관,Nan,Nan,Nan
206,현대화랑,['전시관'],1,4.0,전시관,Nan,Nan,Nan,Nan
211,죠르노벤띠,"['쇼핑', '친구', '음식, 식사']",1,4.0,쇼핑,친구,"음식, 식사",Nan,Nan
212,선인상가,"['싸다, 저렴하다', '구매', '친구']",1,4.0,"싸다, 저렴하다",구매,친구,Nan,Nan
213,시티스타몰,"['호텔', '싸다, 저렴하다', '음식, 식사', '돈', '시장', '쇼핑', '가격']",1,4.0,호텔,"싸다, 저렴하다","음식, 식사",돈,돈
215,끌리오뷰티,"['가격', '싸다, 저렴하다']",1,4.0,가격,"싸다, 저렴하다",Nan,Nan,Nan
216,누죤,['쇼핑'],1,3.0,쇼핑,Nan,Nan,Nan,Nan
217,Soo Bone,['친구'],1,5.0,친구,Nan,Nan,Nan,Nan
218,방학동 도깨비시장,"['시장', '음식, 식사']",1,4.0,시장,"음식, 식사",Nan,Nan,Nan
219,구로아트밸리,"['문화', '아이', '공연', '시장', '유익하다']",2,3.5,문화,아이,공연,시장,시장
225,해밀턴,"['쇼핑', '호텔', '상품']",6,3.166666667,쇼핑,호텔,상품,Nan,Nan
226,용산 전자상가,"['가격', '쇼핑', '시장', '싸다, 저렴하다', '구매', '돈', '비싸다']",45,2.9111111110000003,가격,쇼핑,시장,"싸다, 저렴하다","싸다, 저렴하다"
227,썸띵,"['음식, 식사', '구매', '예술', '전시관', '상품', '재미', '커플']",3,5.0,"음식, 식사",구매,예술,전시관,전시관
229,엔터식스 - 왕십리역점,"['쇼핑', '엔터테인먼트', '음식, 식사', '영화']",1,3.0,쇼핑,엔터테인먼트,"음식, 식사",영화,영화
230,지에스25 - 여의도자이점,[],1,3.0,Nan,Nan,Nan,Nan,Nan
231,지에스25 - 올림픽3호점,"['공원', '아이', '먹다']",1,3.0,공원,아이,먹다,Nan,Nan
232,지에스25 - 망원 포은로점,"['시장', '싸다, 저렴하다']",1,3.0,시장,"싸다, 저렴하다",Nan,Nan,Nan
233,랄라블라 - 홍대중앙점,"['비싸다', '구매']",1,3.0,비싸다,구매,Nan,Nan,Nan
234,CU - 페럼타워점,[],1,3.0,Nan,Nan,Nan,Nan,Nan
235,아리따움 라이브 - 신촌점,"['비싸다', '구매']",1,3.0,비싸다,구매,Nan,Nan,Nan
236,공릉동 도깨비시장,"['시장', '음식, 식사', '상품']",1,3.0,시장,"음식, 식사",상품,Nan,Nan
238,넷마블스토어 - 명동점,"['재미', '상품', '전시관']",1,3.0,재미,상품,전시관,Nan,Nan
240,신흥시장,"['시장', '쇼핑', '먹다', '음식, 식사', '관광지']",1,3.0,시장,쇼핑,먹다,"음식, 식사","음식, 식사"
241,청색종이,"['음식, 식사', '예술']",1,3.0,"음식, 식사",예술,Nan,Nan,Nan
243,웅갤러리,"['예술', '박물관']",1,3.0,예술,박물관,Nan,Nan,Nan
245,종각지하쇼핑센터,"['쇼핑', '시장']",1,2.0,쇼핑,시장,Nan,Nan,Nan
246,메사,"['쇼핑', '상품', '먹다', '싸다, 저렴하다', '음식, 식사', '재미', '구매']",5,3.6,쇼핑,상품,먹다,"싸다, 저렴하다","싸다, 저렴하다"
247,마루존 김치 백화점,"['음식, 식사', '박물관']",1,2.0,"음식, 식사",박물관,Nan,Nan,Nan
248,뷰티플렉스 명동,"['구매', '돈', '비싸다', '음식, 식사', '호텔', '가격', '싸다, 저렴하다']",7,2.5714285709999998,구매,돈,비싸다,"음식, 식사","음식, 식사"
249,Gallery Luminarie,[],1,1.0,Nan,Nan,Nan,Nan,Nan
250,얼짱몸짱 - 홍제점,"['비싸다', '구매']",1,2.0,비싸다,구매,Nan,Nan,Nan
251,남구로시장,"['시장', '먹다', '음식, 식사', '쇼핑', '가격', '친구', '비싸다']",3,2.666666667,시장,먹다,"음식, 식사",쇼핑,쇼핑
252,가산카메라,['아이'],2,5.0,아이,Nan,Nan,Nan,Nan
253,K 리그 오피셜 스토어,['쇼핑'],1,1.0,쇼핑,Nan,Nan,Nan,Nan
254,국제디지털사진관,[],1,1.0,Nan,Nan,Nan,Nan,Nan
255,목동 로데오거리,"['음식, 식사', '싸다, 저렴하다', '먹다', '시장', '비싸다', '상품', '쇼핑']",8,2.625,"음식, 식사","싸다, 저렴하다",먹다,시장,시장
256,청하 플러스,"['구매', '시장', '싸다, 저렴하다', '비싸다', '휴식']",4,2.5,구매,시장,"싸다, 저렴하다",비싸다,비싸다
257,제일 자수정,"['관광지', '가격', '상품', '구매', '싸다, 저렴하다', '비싸다', '쇼핑']",6,2.333333333,관광지,가격,상품,구매,구매
258,교복몰 - 잠실점,[],1,5.0,Nan,Nan,Nan,Nan,Nan
259,바이레도 서울,"['쇼핑', '전시관']",1,4.0,쇼핑,전시관,Nan,Nan,Nan
573,한국 전쟁 기념관,"['전쟁', '역사', '전시관', '아이', '박물관', '가족', '나들이']",1398,4.580114449,전쟁,역사,전시관,아이,아이
574,국립중앙박물관,"['박물관', '전시관', '아이', '역사', '문화', '친구', '재미']",762,4.551181102,박물관,전시관,아이,역사,역사
575,그레뱅뮤지엄,"['재미', '체험', '친구', '박물관', '가족', '아이', '전시관']",148,4.763513514,재미,체험,친구,박물관,박물관
576,경복궁,"['궁전', '친구', '역사', '관광지', '산책','나들이', '공연', '가족']",2925,4.472820513,궁전,친구,역사,관광지,관광지
577,삼성미술관 리움,"['미술관', '미술', '박물관', '전시관', '예술', '음식, 식사', '문화']",211,4.402843602,미술관,미술,박물관,전시관,전시관
578,서울 역사 박물관,"['박물관', '역사', '전시관', '아이', '궁전', '음식, 식사', '유익하다']",139,4.35971223,박물관,역사,전시관,아이,아이
579,트릭아이뮤지엄 서울,"['재미', '박물관', '아이', '친구', '가족', '미술', '미술관']",560,4.2678571430000005,재미,박물관,아이,친구,친구
580,예술의전당,"['전시관', '미술관', '예술', '미술','공연', '음식, 식사', '분수']",673,4.420505201,전시관,미술관,예술,미술,미술
581,국립 민속 박물관,"['박물관', '궁전', '역사', '전시관', '문화', '아이', '유익하다']",340,4.252941176,박물관,궁전,역사,전시관,전시관
582,서대문 형무소 역사관,"['역사', '박물관', '전시관', '유익하다', '아이', '관광지', '휴식']",143,4.3986013989999995,역사,박물관,전시관,유익하다,유익하다
583,국립현대미술관 서울관,"['전시관', '미술', '미술관', '박물관', '궁전', '예술', '음식, 식사']",100,4.41,전시관,미술,미술관,박물관,박물관
584,국립 고궁 박물관,"['박물관', '궁전', '전시관', '역사', '문화', '아이', '음식, 식사']",67,4.23880597,박물관,궁전,전시관,역사,역사
585,러브뮤지엄,"['박물관', '재미', '친구', '아이', '커플', '돈', '싸다, 저렴하다']",43,4.651162791,박물관,재미,친구,아이,아이
586,박물관은살아있다 인사동점,"['재미', '박물관', '아이', '친구', '예술', '가족', '전시관']",82,4.195121951,재미,박물관,아이,친구,친구
587,대한민국 역사 박물관,"['박물관', '역사', '전시관', '궁전', '전쟁', '아이', '문화']",51,4.137254902,박물관,역사,전시관,궁전,궁전
588,문화역서울 284,"['역사', '전시관', '문화', '박물관', '쇼핑', '미술', '예술']",95,3.842105263,역사,전시관,문화,박물관,박물관
589,국립국악원,"['공연', '예술', '아이', '박물관', '체험', '가격', '문화']",72,4.375,공연,예술,아이,박물관,박물관
590,롯데월드 민속박물관,"['박물관', '아이', '역사', '음식, 식사', '문화', '전시관', '가격']",35,4.428571429,박물관,아이,역사,"음식, 식사","음식, 식사"
591,아라리오뮤지엄 인 스페이스,"['미술관', '미술', '예술', '음식, 식사', '박물관', '궁전', '전시관']",30,4.633333333,미술관,미술,예술,"음식, 식사","음식, 식사"
592,서울 시립 미술관,"['전시관', '미술관', '미술', '박물관', '궁전', '예술', '문화']",60,4.0,전시관,미술관,미술,박물관,박물관
593,청와대 사랑채,"['역사', '박물관', '문화', '재미', '아이', '전시관', '체험']",29,4.103448276,역사,박물관,문화,재미,재미
594,화폐 금융 박물관,"['박물관', '돈', '전시관', '역사', '아이', '쇼핑', '체험']",30,4.166666667,박물관,돈,전시관,역사,역사
595,3D블랙아트 박물관,"['재미', '예술', '친구', '아이', '박물관', '가족', '쇼핑']",139,4.71942446,재미,예술,친구,아이,아이
596,대림 미술관,"['전시관', '미술관', '미술', '박물관', '궁전', '싸다, 저렴하다', '음식, 식사']",43,4.488372093,전시관,미술관,미술,박물관,박물관
597,세종이야기 • 충무공이야기,"['박물관', '역사', '아이', '활동', '전쟁', '궁전', '전시관']",17,4.4117647060000005,박물관,역사,아이,활동,활동
598,풋볼팬타지움,"['체험', '경기', '재미', '박물관', '역사', '아이', '게임']",23,4.739130435,체험,경기,재미,박물관,박물관
599,한국 가구 박물관,"['박물관', '역사', '문화', '전시관', '친구', '휴식', '음식, 식사']",22,4.545454545,박물관,역사,문화,전시관,전시관
600,세종대왕 기념관,"['박물관', '전시관', '역사', '음식, 식사', '궁전', '아이', '유익하다']",20,4.15,박물관,전시관,역사,"음식, 식사","음식, 식사"
601,국립 한글 박물관,"['박물관', '전시관', '아이', '역사', '재미', '문화', '가족']",36,3.833333333,박물관,전시관,아이,역사,역사
602,전쟁과 여성 인권 박물관,"['박물관', '전시관', '전쟁', '역사', '재미', '가족', '상품']",16,4.6875,박물관,전시관,전쟁,역사,역사
